fecha,valor,porcentaje,indicator,region
2022-01-01T00:00:00.000+01:00,154.8445833333333,1,Índice servicios,peninsular
2022-02-01T00:00:00.000+01:00,155.46408333333332,1,Índice servicios,peninsular
2022-03-01T00:00:00.000+01:00,155.039,1,Índice servicios,peninsular
2022-04-01T00:00:00.000+02:00,154.56766666666667,1,Índice servicios,peninsular
2022-05-01T00:00:00.000+02:00,155.24533333333332,1,Índice servicios,peninsular
2022-06-01T00:00:00.000+02:00,157.02450000000002,1,Índice servicios,peninsular
2022-07-01T00:00:00.000+02:00,157.86433333333332,1,Índice servicios,peninsular
2022-08-01T00:00:00.000+02:00,158.16625,1,Índice servicios,peninsular
2022-09-01T00:00:00.000+02:00,158.96983333333336,1,Índice servicios,peninsular
2022-10-01T00:00:00.000+02:00,159.52883333333335,1,Índice servicios,peninsular
2022-11-01T00:00:00.000+01:00,160.4116666666667,1,Índice servicios,peninsular
2022-12-01T00:00:00.000+01:00,160.87583333333336,1,Índice servicios,peninsular
2022-01-01T00:00:00.000+01:00,125.66891666666665,1,Índice servicios corregido,peninsular
2022-02-01T00:00:00.000+01:00,126.18483333333332,1,Índice servicios corregido,peninsular
2022-03-01T00:00:00.000+01:00,125.92275000000001,1,Índice servicios corregido,peninsular
2022-04-01T00:00:00.000+02:00,125.30475000000001,1,Índice servicios corregido,peninsular
2022-05-01T00:00:00.000+02:00,125.30983333333336,1,Índice servicios corregido,peninsular
2022-06-01T00:00:00.000+02:00,126.25458333333334,1,Índice servicios corregido,peninsular
2022-07-01T00:00:00.000+02:00,125.85833333333336,1,Índice servicios corregido,peninsular
2022-08-01T00:00:00.000+02:00,125.58491666666667,1,Índice servicios corregido,peninsular
2022-09-01T00:00:00.000+02:00,126.15375,1,Índice servicios corregido,peninsular
2022-10-01T00:00:00.000+02:00,126.24966666666667,1,Índice servicios corregido,peninsular
2022-11-01T00:00:00.000+01:00,126.74374999999999,1,Índice servicios corregido,peninsular
2022-12-01T00:00:00.000+01:00,127.08216666666665,1,Índice servicios corregido,peninsular
2022-01-01T00:00:00.000+01:00,1.5856154722567763,1,Annual variation,peninsular
2022-02-01T00:00:00.000+01:00,2.623161116529491,1,Annual variation,peninsular
2022-03-01T00:00:00.000+01:00,2.182867914082519,1,Annual variation,peninsular
2022-04-01T00:00:00.000+02:00,0.7501349808419577,1,Annual variation,peninsular
2022-05-01T00:00:00.000+02:00,0.7409522388091924,1,Annual variation,peninsular
2022-06-01T00:00:00.000+02:00,1.808768776167515,1,Annual variation,peninsular
2022-07-01T00:00:00.000+02:00,2.121543899597668,1,Annual variation,peninsular
2022-08-01T00:00:00.000+02:00,2.233577947652816,1,Annual variation,peninsular
2022-09-01T00:00:00.000+02:00,2.8294238518975305,1,Annual variation,peninsular
2022-10-01T00:00:00.000+02:00,3.3483901025901255,1,Annual variation,peninsular
2022-11-01T00:00:00.000+01:00,3.9497267252007666,1,Annual variation,peninsular
2022-12-01T00:00:00.000+01:00,4.2192236369378735,1,Annual variation,peninsular
2022-01-01T00:00:00.000+01:00,2.900050903225149,1,Corrected annual variation,peninsular
2022-02-01T00:00:00.000+01:00,3.609455430741813,1,Corrected annual variation,peninsular
2022-03-01T00:00:00.000+01:00,3.249926546453376,1,Corrected annual variation,peninsular
2022-04-01T00:00:00.000+02:00,1.338526320329752,1,Corrected annual variation,peninsular
2022-05-01T00:00:00.000+02:00,0.4035591190072136,1,Corrected annual variation,peninsular
2022-06-01T00:00:00.000+02:00,1.1049738504648356,1,Corrected annual variation,peninsular
2022-07-01T00:00:00.000+02:00,0.23274597107899286,1,Corrected annual variation,peninsular
2022-08-01T00:00:00.000+02:00,-0.10751398112605698,1,Corrected annual variation,peninsular
2022-09-01T00:00:00.000+02:00,0.44594870760468686,1,Corrected annual variation,peninsular
2022-10-01T00:00:00.000+02:00,0.9596187114986335,1,Corrected annual variation,peninsular
2022-11-01T00:00:00.000+01:00,1.2086411554191518,1,Corrected annual variation,peninsular
2022-12-01T00:00:00.000+01:00,1.4325061907653502,1,Corrected annual variation,peninsular
2022-01-01T00:00:00.000+01:00,154.8445833333333,1,Índice servicios,canarias
2022-02-01T00:00:00.000+01:00,155.46408333333332,1,Índice servicios,canarias
2022-03-01T00:00:00.000+01:00,155.039,1,Índice servicios,canarias
2022-04-01T00:00:00.000+02:00,154.56766666666667,1,Índice servicios,canarias
2022-05-01T00:00:00.000+02:00,155.24533333333332,1,Índice servicios,canarias
2022-06-01T00:00:00.000+02:00,157.02450000000002,1,Índice servicios,canarias
2022-07-01T00:00:00.000+02:00,157.86433333333332,1,Índice servicios,canarias
2022-08-01T00:00:00.000+02:00,158.16625,1,Índice servicios,canarias
2022-09-01T00:00:00.000+02:00,158.96983333333336,1,Índice servicios,canarias
2022-10-01T00:00:00.000+02:00,159.52883333333335,1,Índice servicios,canarias
2022-11-01T00:00:00.000+01:00,160.4116666666667,1,Índice servicios,canarias
2022-12-01T00:00:00.000+01:00,160.87583333333336,1,Índice servicios,canarias
2022-01-01T00:00:00.000+01:00,125.66891666666665,1,Índice servicios corregido,canarias
2022-02-01T00:00:00.000+01:00,126.18483333333332,1,Índice servicios corregido,canarias
2022-03-01T00:00:00.000+01:00,125.92275000000001,1,Índice servicios corregido,canarias
2022-04-01T00:00:00.000+02:00,125.30475000000001,1,Índice servicios corregido,canarias
2022-05-01T00:00:00.000+02:00,125.30983333333336,1,Índice servicios corregido,canarias
2022-06-01T00:00:00.000+02:00,126.25458333333334,1,Índice servicios corregido,canarias
2022-07-01T00:00:00.000+02:00,125.85833333333336,1,Índice servicios corregido,canarias
2022-08-01T00:00:00.000+02:00,125.58491666666667,1,Índice servicios corregido,canarias
2022-09-01T00:00:00.000+02:00,126.15375,1,Índice servicios corregido,canarias
2022-10-01T00:00:00.000+02:00,126.24966666666667,1,Índice servicios corregido,canarias
2022-11-01T00:00:00.000+01:00,126.74374999999999,1,Índice servicios corregido,canarias
2022-12-01T00:00:00.000+01:00,127.08216666666665,1,Índice servicios corregido,canarias
2022-01-01T00:00:00.000+01:00,1.5856154722567763,1,Annual variation,canarias
2022-02-01T00:00:00.000+01:00,2.623161116529491,1,Annual variation,canarias
2022-03-01T00:00:00.000+01:00,2.182867914082519,1,Annual variation,canarias
2022-04-01T00:00:00.000+02:00,0.7501349808419577,1,Annual variation,canarias
2022-05-01T00:00:00.000+02:00,0.7409522388091924,1,Annual variation,canarias
2022-06-01T00:00:00.000+02:00,1.808768776167515,1,Annual variation,canarias
2022-07-01T00:00:00.000+02:00,2.121543899597668,1,Annual variation,canarias
2022-08-01T00:00:00.000+02:00,2.233577947652816,1,Annual variation,canarias
2022-09-01T00:00:00.000+02:00,2.8294238518975305,1,Annual variation,canarias
2022-10-01T00:00:00.000+02:00,3.3483901025901255,1,Annual variation,canarias
2022-11-01T00:00:00.000+01:00,3.9497267252007666,1,Annual variation,canarias
2022-12-01T00:00:00.000+01:00,4.2192236369378735,1,Annual variation,canarias
2022-01-01T00:00:00.000+01:00,2.900050903225149,1,Corrected annual variation,canarias
2022-02-01T00:00:00.000+01:00,3.609455430741813,1,Corrected annual variation,canarias
2022-03-01T00:00:00.000+01:00,3.249926546453376,1,Corrected annual variation,canarias
2022-04-01T00:00:00.000+02:00,1.338526320329752,1,Corrected annual variation,canarias
2022-05-01T00:00:00.000+02:00,0.4035591190072136,1,Corrected annual variation,canarias
2022-06-01T00:00:00.000+02:00,1.1049738504648356,1,Corrected annual variation,canarias
2022-07-01T00:00:00.000+02:00,0.23274597107899286,1,Corrected annual variation,canarias
2022-08-01T00:00:00.000+02:00,-0.10751398112605698,1,Corrected annual variation,canarias
2022-09-01T00:00:00.000+02:00,0.44594870760468686,1,Corrected annual variation,canarias
2022-10-01T00:00:00.000+02:00,0.9596187114986335,1,Corrected annual variation,canarias
2022-11-01T00:00:00.000+01:00,1.2086411554191518,1,Corrected annual variation,canarias
2022-12-01T00:00:00.000+01:00,1.4325061907653502,1,Corrected annual variation,canarias
2022-01-01T00:00:00.000+01:00,154.8445833333333,1,Índice servicios,baleares
2022-02-01T00:00:00.000+01:00,155.46408333333332,1,Índice servicios,baleares
2022-03-01T00:00:00.000+01:00,155.039,1,Índice servicios,baleares
2022-04-01T00:00:00.000+02:00,154.56766666666667,1,Índice servicios,baleares
2022-05-01T00:00:00.000+02:00,155.24533333333332,1,Índice servicios,baleares
2022-06-01T00:00:00.000+02:00,157.02450000000002,1,Índice servicios,baleares
2022-07-01T00:00:00.000+02:00,157.86433333333332,1,Índice servicios,baleares
2022-08-01T00:00:00.000+02:00,158.16625,1,Índice servicios,baleares
2022-09-01T00:00:00.000+02:00,158.96983333333336,1,Índice servicios,baleares
2022-10-01T00:00:00.000+02:00,159.52883333333335,1,Índice servicios,baleares
2022-11-01T00:00:00.000+01:00,160.4116666666667,1,Índice servicios,baleares
2022-12-01T00:00:00.000+01:00,160.87583333333336,1,Índice servicios,baleares
2022-01-01T00:00:00.000+01:00,125.66891666666665,1,Índice servicios corregido,baleares
2022-02-01T00:00:00.000+01:00,126.18483333333332,1,Índice servicios corregido,baleares
2022-03-01T00:00:00.000+01:00,125.92275000000001,1,Índice servicios corregido,baleares
2022-04-01T00:00:00.000+02:00,125.30475000000001,1,Índice servicios corregido,baleares
2022-05-01T00:00:00.000+02:00,125.30983333333336,1,Índice servicios corregido,baleares
2022-06-01T00:00:00.000+02:00,126.25458333333334,1,Índice servicios corregido,baleares
2022-07-01T00:00:00.000+02:00,125.85833333333336,1,Índice servicios corregido,baleares
2022-08-01T00:00:00.000+02:00,125.58491666666667,1,Índice servicios corregido,baleares
2022-09-01T00:00:00.000+02:00,126.15375,1,Índice servicios corregido,baleares
2022-10-01T00:00:00.000+02:00,126.24966666666667,1,Índice servicios corregido,baleares
2022-11-01T00:00:00.000+01:00,126.74374999999999,1,Índice servicios corregido,baleares
2022-12-01T00:00:00.000+01:00,127.08216666666665,1,Índice servicios corregido,baleares
2022-01-01T00:00:00.000+01:00,1.5856154722567763,1,Annual variation,baleares
2022-02-01T00:00:00.000+01:00,2.623161116529491,1,Annual variation,baleares
2022-03-01T00:00:00.000+01:00,2.182867914082519,1,Annual variation,baleares
2022-04-01T00:00:00.000+02:00,0.7501349808419577,1,Annual variation,baleares
2022-05-01T00:00:00.000+02:00,0.7409522388091924,1,Annual variation,baleares
2022-06-01T00:00:00.000+02:00,1.808768776167515,1,Annual variation,baleares
2022-07-01T00:00:00.000+02:00,2.121543899597668,1,Annual variation,baleares
2022-08-01T00:00:00.000+02:00,2.233577947652816,1,Annual variation,baleares
2022-09-01T00:00:00.000+02:00,2.8294238518975305,1,Annual variation,baleares
2022-10-01T00:00:00.000+02:00,3.3483901025901255,1,Annual variation,baleares
2022-11-01T00:00:00.000+01:00,3.9497267252007666,1,Annual variation,baleares
2022-12-01T00:00:00.000+01:00,4.2192236369378735,1,Annual variation,baleares
2022-01-01T00:00:00.000+01:00,2.900050903225149,1,Corrected annual variation,baleares
2022-02-01T00:00:00.000+01:00,3.609455430741813,1,Corrected annual variation,baleares
2022-03-01T00:00:00.000+01:00,3.249926546453376,1,Corrected annual variation,baleares
2022-04-01T00:00:00.000+02:00,1.338526320329752,1,Corrected annual variation,baleares
2022-05-01T00:00:00.000+02:00,0.4035591190072136,1,Corrected annual variation,baleares
2022-06-01T00:00:00.000+02:00,1.1049738504648356,1,Corrected annual variation,baleares
2022-07-01T00:00:00.000+02:00,0.23274597107899286,1,Corrected annual variation,baleares
2022-08-01T00:00:00.000+02:00,-0.10751398112605698,1,Corrected annual variation,baleares
2022-09-01T00:00:00.000+02:00,0.44594870760468686,1,Corrected annual variation,baleares
2022-10-01T00:00:00.000+02:00,0.9596187114986335,1,Corrected annual variation,baleares
2022-11-01T00:00:00.000+01:00,1.2086411554191518,1,Corrected annual variation,baleares
2022-12-01T00:00:00.000+01:00,1.4325061907653502,1,Corrected annual variation,baleares
2022-01-01T00:00:00.000+01:00,154.8445833333333,1,Índice servicios,ceuta
2022-02-01T00:00:00.000+01:00,155.46408333333332,1,Índice servicios,ceuta
2022-03-01T00:00:00.000+01:00,155.039,1,Índice servicios,ceuta
2022-04-01T00:00:00.000+02:00,154.56766666666667,1,Índice servicios,ceuta
2022-05-01T00:00:00.000+02:00,155.24533333333332,1,Índice servicios,ceuta
2022-06-01T00:00:00.000+02:00,157.02450000000002,1,Índice servicios,ceuta
2022-07-01T00:00:00.000+02:00,157.86433333333332,1,Índice servicios,ceuta
2022-08-01T00:00:00.000+02:00,158.16625,1,Índice servicios,ceuta
2022-09-01T00:00:00.000+02:00,158.96983333333336,1,Índice servicios,ceuta
2022-10-01T00:00:00.000+02:00,159.52883333333335,1,Índice servicios,ceuta
2022-11-01T00:00:00.000+01:00,160.4116666666667,1,Índice servicios,ceuta
2022-12-01T00:00:00.000+01:00,160.87583333333336,1,Índice servicios,ceuta
2022-01-01T00:00:00.000+01:00,125.66891666666665,1,Índice servicios corregido,ceuta
2022-02-01T00:00:00.000+01:00,126.18483333333332,1,Índice servicios corregido,ceuta
2022-03-01T00:00:00.000+01:00,125.92275000000001,1,Índice servicios corregido,ceuta
2022-04-01T00:00:00.000+02:00,125.30475000000001,1,Índice servicios corregido,ceuta
2022-05-01T00:00:00.000+02:00,125.30983333333336,1,Índice servicios corregido,ceuta
2022-06-01T00:00:00.000+02:00,126.25458333333334,1,Índice servicios corregido,ceuta
2022-07-01T00:00:00.000+02:00,125.85833333333336,1,Índice servicios corregido,ceuta
2022-08-01T00:00:00.000+02:00,125.58491666666667,1,Índice servicios corregido,ceuta
2022-09-01T00:00:00.000+02:00,126.15375,1,Índice servicios corregido,ceuta
2022-10-01T00:00:00.000+02:00,126.24966666666667,1,Índice servicios corregido,ceuta
2022-11-01T00:00:00.000+01:00,126.74374999999999,1,Índice servicios corregido,ceuta
2022-12-01T00:00:00.000+01:00,127.08216666666665,1,Índice servicios corregido,ceuta
2022-01-01T00:00:00.000+01:00,1.5856154722567763,1,Annual variation,ceuta
2022-02-01T00:00:00.000+01:00,2.623161116529491,1,Annual variation,ceuta
2022-03-01T00:00:00.000+01:00,2.182867914082519,1,Annual variation,ceuta
2022-04-01T00:00:00.000+02:00,0.7501349808419577,1,Annual variation,ceuta
2022-05-01T00:00:00.000+02:00,0.7409522388091924,1,Annual variation,ceuta
2022-06-01T00:00:00.000+02:00,1.808768776167515,1,Annual variation,ceuta
2022-07-01T00:00:00.000+02:00,2.121543899597668,1,Annual variation,ceuta
2022-08-01T00:00:00.000+02:00,2.233577947652816,1,Annual variation,ceuta
2022-09-01T00:00:00.000+02:00,2.8294238518975305,1,Annual variation,ceuta
2022-10-01T00:00:00.000+02:00,3.3483901025901255,1,Annual variation,ceuta
2022-11-01T00:00:00.000+01:00,3.9497267252007666,1,Annual variation,ceuta
2022-12-01T00:00:00.000+01:00,4.2192236369378735,1,Annual variation,ceuta
2022-01-01T00:00:00.000+01:00,2.900050903225149,1,Corrected annual variation,ceuta
2022-02-01T00:00:00.000+01:00,3.609455430741813,1,Corrected annual variation,ceuta
2022-03-01T00:00:00.000+01:00,3.249926546453376,1,Corrected annual variation,ceuta
2022-04-01T00:00:00.000+02:00,1.338526320329752,1,Corrected annual variation,ceuta
2022-05-01T00:00:00.000+02:00,0.4035591190072136,1,Corrected annual variation,ceuta
2022-06-01T00:00:00.000+02:00,1.1049738504648356,1,Corrected annual variation,ceuta
2022-07-01T00:00:00.000+02:00,0.23274597107899286,1,Corrected annual variation,ceuta
2022-08-01T00:00:00.000+02:00,-0.10751398112605698,1,Corrected annual variation,ceuta
2022-09-01T00:00:00.000+02:00,0.44594870760468686,1,Corrected annual variation,ceuta
2022-10-01T00:00:00.000+02:00,0.9596187114986335,1,Corrected annual variation,ceuta
2022-11-01T00:00:00.000+01:00,1.2086411554191518,1,Corrected annual variation,ceuta
2022-12-01T00:00:00.000+01:00,1.4325061907653502,1,Corrected annual variation,ceuta
2022-01-01T00:00:00.000+01:00,154.8445833333333,1,Índice servicios,melilla
2022-02-01T00:00:00.000+01:00,155.46408333333332,1,Índice servicios,melilla
2022-03-01T00:00:00.000+01:00,155.039,1,Índice servicios,melilla
2022-04-01T00:00:00.000+02:00,154.56766666666667,1,Índice servicios,melilla
2022-05-01T00:00:00.000+02:00,155.24533333333332,1,Índice servicios,melilla
2022-06-01T00:00:00.000+02:00,157.02450000000002,1,Índice servicios,melilla
2022-07-01T00:00:00.000+02:00,157.86433333333332,1,Índice servicios,melilla
2022-08-01T00:00:00.000+02:00,158.16625,1,Índice servicios,melilla
2022-09-01T00:00:00.000+02:00,158.96983333333336,1,Índice servicios,melilla
2022-10-01T00:00:00.000+02:00,159.52883333333335,1,Índice servicios,melilla
2022-11-01T00:00:00.000+01:00,160.4116666666667,1,Índice servicios,melilla
2022-12-01T00:00:00.000+01:00,160.87583333333336,1,Índice servicios,melilla
2022-01-01T00:00:00.000+01:00,125.66891666666665,1,Índice servicios corregido,melilla
2022-02-01T00:00:00.000+01:00,126.18483333333332,1,Índice servicios corregido,melilla
2022-03-01T00:00:00.000+01:00,125.92275000000001,1,Índice servicios corregido,melilla
2022-04-01T00:00:00.000+02:00,125.30475000000001,1,Índice servicios corregido,melilla
2022-05-01T00:00:00.000+02:00,125.30983333333336,1,Índice servicios corregido,melilla
2022-06-01T00:00:00.000+02:00,126.25458333333334,1,Índice servicios corregido,melilla
2022-07-01T00:00:00.000+02:00,125.85833333333336,1,Índice servicios corregido,melilla
2022-08-01T00:00:00.000+02:00,125.58491666666667,1,Índice servicios corregido,melilla
2022-09-01T00:00:00.000+02:00,126.15375,1,Índice servicios corregido,melilla
2022-10-01T00:00:00.000+02:00,126.24966666666667,1,Índice servicios corregido,melilla
2022-11-01T00:00:00.000+01:00,126.74374999999999,1,Índice servicios corregido,melilla
2022-12-01T00:00:00.000+01:00,127.08216666666665,1,Índice servicios corregido,melilla
2022-01-01T00:00:00.000+01:00,1.5856154722567763,1,Annual variation,melilla
2022-02-01T00:00:00.000+01:00,2.623161116529491,1,Annual variation,melilla
2022-03-01T00:00:00.000+01:00,2.182867914082519,1,Annual variation,melilla
2022-04-01T00:00:00.000+02:00,0.7501349808419577,1,Annual variation,melilla
2022-05-01T00:00:00.000+02:00,0.7409522388091924,1,Annual variation,melilla
2022-06-01T00:00:00.000+02:00,1.808768776167515,1,Annual variation,melilla
2022-07-01T00:00:00.000+02:00,2.121543899597668,1,Annual variation,melilla
2022-08-01T00:00:00.000+02:00,2.233577947652816,1,Annual variation,melilla
2022-09-01T00:00:00.000+02:00,2.8294238518975305,1,Annual variation,melilla
2022-10-01T00:00:00.000+02:00,3.3483901025901255,1,Annual variation,melilla
2022-11-01T00:00:00.000+01:00,3.9497267252007666,1,Annual variation,melilla
2022-12-01T00:00:00.000+01:00,4.2192236369378735,1,Annual variation,melilla
2022-01-01T00:00:00.000+01:00,2.900050903225149,1,Corrected annual variation,melilla
2022-02-01T00:00:00.000+01:00,3.609455430741813,1,Corrected annual variation,melilla
2022-03-01T00:00:00.000+01:00,3.249926546453376,1,Corrected annual variation,melilla
2022-04-01T00:00:00.000+02:00,1.338526320329752,1,Corrected annual variation,melilla
2022-05-01T00:00:00.000+02:00,0.4035591190072136,1,Corrected annual variation,melilla
2022-06-01T00:00:00.000+02:00,1.1049738504648356,1,Corrected annual variation,melilla
2022-07-01T00:00:00.000+02:00,0.23274597107899286,1,Corrected annual variation,melilla
2022-08-01T00:00:00.000+02:00,-0.10751398112605698,1,Corrected annual variation,melilla
2022-09-01T00:00:00.000+02:00,0.44594870760468686,1,Corrected annual variation,melilla
2022-10-01T00:00:00.000+02:00,0.9596187114986335,1,Corrected annual variation,melilla
2022-11-01T00:00:00.000+01:00,1.2086411554191518,1,Corrected annual variation,melilla
2022-12-01T00:00:00.000+01:00,1.4325061907653502,1,Corrected annual variation,melilla
2022-01-01T00:00:00.000+01:00,154.8445833333333,1,Índice servicios,andalucia
2022-02-01T00:00:00.000+01:00,155.46408333333332,1,Índice servicios,andalucia
2022-03-01T00:00:00.000+01:00,155.039,1,Índice servicios,andalucia
2022-04-01T00:00:00.000+02:00,154.56766666666667,1,Índice servicios,andalucia
2022-05-01T00:00:00.000+02:00,155.24533333333332,1,Índice servicios,andalucia
2022-06-01T00:00:00.000+02:00,157.02450000000002,1,Índice servicios,andalucia
2022-07-01T00:00:00.000+02:00,157.86433333333332,1,Índice servicios,andalucia
2022-08-01T00:00:00.000+02:00,158.16625,1,Índice servicios,andalucia
2022-09-01T00:00:00.000+02:00,158.96983333333336,1,Índice servicios,andalucia
2022-10-01T00:00:00.000+02:00,159.52883333333335,1,Índice servicios,andalucia
2022-11-01T00:00:00.000+01:00,160.4116666666667,1,Índice servicios,andalucia
2022-12-01T00:00:00.000+01:00,160.87583333333336,1,Índice servicios,andalucia
